Best Fitness, Average Fitness, Worst Fitness
17, 12.42, 0
19, 13.65, 10
19, 14.56, 11
17, 15.02, 9
17, 15.14, 11
17, 15.67, 12
19, 15.89, 12
18, 16.21, 13
18, 16.54, 13
18, 16.77, 14
19, 16.79, 13
19, 16.95, 10
19, 17.06, 15
19, 17.25, 14
19, 17.74, 13
19, 18.29, 15
19, 18.65, 15
20, 18.88, 18
20, 19.03, 18
20, 19.06, 19
20, 19.06, 19
20, 19.13, 19
20, 19.33, 19
20, 19.55, 19
20, 19.8, 19
20, 19.95, 19
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
20, 20.0, 20
