Best Fitness, Average Fitness, Worst Fitness
43, 32.02, 0
44, 33.91, 26
44, 35.34, 26
45, 37.4, 27
46, 39.27, 28
47, 39.52, 30
48, 40.22, 34
46, 40.68, 32
48, 41.73, 32
49, 42.14, 29
49, 42.71, 30
51, 43.09, 35
51, 44.09, 35
51, 44.88, 34
51, 45.11, 37
52, 46.16, 36
51, 46.55, 35
51, 46.63, 37
51, 47.02, 39
52, 47.22, 36
53, 46.67, 34
53, 47.24, 39
54, 47.73, 38
55, 48.06, 35
55, 48.69, 39
54, 49.02, 37
54, 49.63, 40
54, 49.87, 35
55, 49.75, 40
54, 49.5, 40
54, 49.63, 38
55, 49.92, 33
55, 49.4, 38
56, 50.06, 38
57, 49.7, 37
56, 49.78, 39
56, 49.5, 39
57, 50.08, 38
57, 50.94, 40
56, 50.35, 34
57, 50.73, 38
56, 51.36, 44
57, 51.49, 43
57, 51.44, 40
57, 51.41, 44
58, 51.63, 43
57, 51.82, 43
57, 52.03, 41
57, 51.9, 41
58, 52.13, 41
58, 52.02, 42
57, 52.37, 44
59, 51.84, 42
59, 51.8, 39
59, 52.39, 39
59, 52.42, 45
59, 51.32, 39
58, 50.85, 41
57, 50.75, 37
56, 50.46, 36
56, 51.22, 41
56, 50.95, 42
56, 51.05, 41
56, 50.37, 39
56, 50.9, 41
57, 50.93, 41
59, 50.74, 42
56, 50.4, 41
56, 50.68, 42
56, 50.66, 39
58, 50.25, 37
56, 50.25, 38
56, 50.91, 41
57, 50.61, 38
57, 51.13, 41
56, 50.87, 35
57, 51.54, 43
57, 51.83, 44
57, 51.63, 35
57, 52.2, 38
57, 52.18, 42
58, 51.95, 41
58, 52.05, 41
58, 52.21, 36
58, 52.24, 41
59, 51.51, 39
58, 52.11, 43
59, 51.66, 39
57, 52.05, 42
57, 52.45, 37
57, 52.5, 43
59, 52.16, 40
59, 51.54, 40
59, 52.12, 37
59, 51.88, 37
58, 52.08, 42
57, 52.12, 41
58, 52.06, 41
57, 52.14, 38
58, 51.44, 39
60, 51.37, 39
58, 50.65, 40
58, 51.0, 43
60, 49.86, 37
59, 49.74, 36
59, 50.85, 41
59, 51.52, 38
59, 52.75, 43
59, 52.69, 33
59, 53.44, 45
60, 53.0, 42
59, 53.11, 38
59, 53.75, 41
60, 54.14, 41
59, 53.58, 43
59, 53.36, 40
60, 54.48, 45
60, 53.58, 41
60, 53.64, 44
60, 53.57, 41
60, 53.37, 41
59, 53.96, 44
60, 53.38, 44
59, 53.78, 41
59, 53.7, 44
59, 53.72, 45
59, 53.51, 44
59, 53.06, 39
59, 52.62, 39
59, 52.89, 45
60, 52.41, 39
60, 52.49, 40
60, 52.76, 45
60, 52.83, 42
60, 52.57, 43
59, 53.07, 39
59, 53.92, 47
59, 54.39, 36
60, 54.24, 42
60, 53.91, 44
60, 53.51, 39
62, 53.59, 38
62, 53.32, 38
62, 54.15, 42
62, 53.46, 34
62, 53.85, 40
61, 53.84, 39
61, 53.68, 39
61, 54.18, 41
61, 54.73, 43
61, 55.24, 39
61, 53.85, 33
62, 54.32, 42
62, 54.38, 37
62, 54.48, 35
62, 54.85, 35
63, 54.43, 40
62, 54.82, 38
62, 54.96, 36
62, 54.56, 36
61, 54.54, 44
62, 54.73, 40
62, 54.99, 40
62, 55.66, 36
62, 54.69, 39
62, 55.49, 37
62, 55.97, 37
63, 55.53, 42
63, 56.01, 46
63, 56.25, 35
63, 56.38, 41
63, 56.06, 34
