Best Fitness, Average Fitness, Worst Fitness
51.0, 19.7, 4.0
68.0, 27.09, 6.0
67.0, 35.325, 7.0
86.0, 45.38, 14.0
91.0, 53.95, 16.0
112.0, 63.43, 25.0
120.0, 72.155, 14.0
122.0, 83.795, 35.0
126.0, 91.1, 52.0
145.0, 99.94, 58.0
155.0, 108.63, 61.0
167.0, 118.47, 73.0
159.0, 127.06, 84.0
178.0, 135.965, 92.0
193.0, 147.005, 112.0
200.0, 156.25, 104.0
206.0, 164.675, 124.0
211.0, 175.145, 128.0
232.0, 184.5, 142.0
239.0, 195.245, 156.0
272.0, 207.33, 148.0
291.0, 216.07, 156.0
285.0, 229.325, 177.0
302.0, 243.365, 176.0
302.0, 260.36, 190.0
329.0, 272.91, 205.0
332.0, 285.41, 216.0
369.0, 300.155, 240.0
377.0, 309.875, 256.0
372.0, 324.53, 278.0
440.0, 341.64, 269.0
448.0, 353.825, 273.0
437.0, 369.815, 270.0
447.0, 387.745, 330.0
476.0, 401.48, 341.0
458.0, 413.68, 350.0
467.0, 427.925, 337.0
472.0, 437.715, 373.0
507.0, 447.12, 391.0
519.0, 456.755, 412.0
510.0, 454.115, 400.0
519.0, 473.22, 392.0
543.0, 479.64, 371.0
552.0, 492.93, 440.0
563.0, 505.26, 432.0
564.0, 516.825, 448.0
578.0, 530.78, 454.0
592.0, 544.31, 481.0
618.0, 556.845, 465.0
628.0, 565.68, 511.0
647.0, 565.22, 500.0
653.0, 579.74, 517.0
654.0, 591.71, 546.0
658.0, 600.95, 533.0
663.0, 612.325, 550.0
670.0, 624.07, 565.0
671.0, 632.475, 542.0
664.0, 638.475, 577.0
674.0, 644.085, 561.0
679.0, 647.79, 579.0
674.0, 643.8, 603.0
677.0, 654.485, 608.0
691.0, 659.01, 589.0
690.0, 662.54, 567.0
696.0, 665.6, 593.0
697.0, 670.185, 574.0
699.0, 675.275, 598.0
709.0, 678.27, 599.0
721.0, 683.805, 617.0
721.0, 689.725, 617.0
698.0, 674.385, 584.0
724.0, 695.59, 575.0
730.0, 700.445, 601.0
731.0, 704.475, 669.0
728.0, 708.87, 671.0
739.0, 712.84, 658.0
741.0, 715.52, 603.0
743.0, 719.085, 624.0
743.0, 721.635, 621.0
742.0, 724.92, 686.0
727.0, 700.48, 594.0
752.0, 726.99, 653.0
752.0, 729.845, 596.0
752.0, 733.69, 681.0
759.0, 736.605, 690.0
770.0, 739.465, 685.0
767.0, 741.53, 690.0
764.0, 742.68, 692.0
767.0, 744.34, 647.0
768.0, 745.84, 670.0
752.0, 720.51, 674.0
771.0, 749.085, 632.0
775.0, 750.55, 629.0
776.0, 755.42, 708.0
775.0, 758.44, 627.0
783.0, 761.1, 685.0
783.0, 765.67, 709.0
782.0, 766.755, 667.0
788.0, 769.18, 709.0
787.0, 770.32, 611.0
756.0, 738.34, 623.0
799.0, 773.145, 714.0
792.0, 774.905, 664.0
798.0, 778.7, 666.0
797.0, 779.675, 689.0
798.0, 779.865, 676.0
794.0, 781.675, 717.0
800.0, 782.565, 647.0
801.0, 786.37, 755.0
802.0, 787.52, 704.0
771.0, 748.13, 697.0
800.0, 787.33, 688.0
804.0, 789.785, 694.0
803.0, 789.54, 734.0
807.0, 790.265, 720.0
806.0, 791.955, 725.0
809.0, 792.54, 722.0
809.0, 793.22, 726.0
811.0, 793.25, 690.0
812.0, 796.355, 656.0
777.0, 762.155, 713.0
813.0, 796.87, 738.0
813.0, 797.18, 731.0
813.0, 801.075, 759.0
817.0, 801.41, 727.0
818.0, 801.89, 728.0
819.0, 804.645, 706.0
819.0, 804.525, 732.0
821.0, 807.72, 741.0
822.0, 806.77, 736.0
801.0, 780.245, 744.0
827.0, 810.785, 724.0
828.0, 812.72, 760.0
829.0, 814.08, 773.0
831.0, 814.35, 721.0
831.0, 814.275, 736.0
834.0, 816.665, 725.0
834.0, 817.615, 727.0
837.0, 821.13, 674.0
836.0, 819.815, 707.0
812.0, 787.835, 675.0
839.0, 820.425, 733.0
842.0, 819.82, 665.0
837.0, 823.135, 723.0
840.0, 825.87, 702.0
840.0, 828.26, 759.0
843.0, 830.275, 734.0
846.0, 832.525, 765.0
846.0, 833.195, 791.0
852.0, 833.49, 768.0
824.0, 804.02, 761.0
849.0, 833.845, 723.0
849.0, 836.015, 760.0
854.0, 838.35, 745.0
853.0, 836.995, 740.0
857.0, 837.63, 754.0
852.0, 837.77, 750.0
859.0, 837.82, 715.0
855.0, 841.55, 754.0
