Best Fitness, Average Fitness, Worst Fitness
38, 19.19, 0
32, 21.9, 11
38, 24.8, 12
42, 27.22, 14
42, 28.6, 14
42, 31.0, 17
42, 32.86, 21
42, 33.78, 19
45, 35.7, 20
44, 36.37, 22
45, 36.76, 24
45, 37.41, 25
45, 37.63, 23
49, 38.44, 23
49, 38.42, 21
51, 38.83, 20
51, 39.84, 21
51, 40.12, 25
51, 41.76, 25
49, 41.24, 27
53, 41.95, 16
49, 41.29, 20
51, 41.45, 21
51, 42.2, 25
51, 42.68, 21
51, 44.7, 29
51, 43.84, 32
52, 44.41, 31
52, 44.7, 28
52, 44.82, 27
54, 45.06, 32
55, 45.11, 30
53, 45.83, 34
56, 46.4, 24
58, 47.06, 31
56, 47.21, 26
58, 48.29, 32
59, 49.1, 33
60, 49.88, 33
60, 50.26, 32
60, 49.21, 24
60, 50.23, 25
60, 51.66, 28
60, 52.34, 33
60, 52.91, 29
63, 53.7, 29
64, 54.0, 33
63, 54.63, 34
63, 54.58, 31
63, 54.89, 27
63, 55.44, 35
64, 55.93, 33
64, 54.57, 25
64, 56.75, 33
64, 56.99, 29
64, 58.26, 37
64, 58.76, 41
64, 56.62, 31
64, 57.17, 33
64, 56.93, 31
64, 57.31, 27
64, 58.31, 33
64, 58.5, 42
64, 58.69, 37
64, 56.63, 33
64, 55.98, 28
64, 55.88, 36
64, 55.52, 32
64, 56.33, 37
64, 56.23, 36
64, 56.08, 34
64, 57.29, 29
64, 58.21, 35
64, 58.13, 32
64, 58.34, 37
64, 58.54, 34
64, 58.17, 37
64, 56.51, 23
64, 56.99, 33
64, 59.96, 37
64, 58.37, 32
64, 57.45, 33
64, 59.78, 35
64, 58.24, 33
64, 58.57, 34
64, 59.1, 32
64, 59.0, 36
64, 58.54, 34
64, 58.32, 30
64, 58.21, 35
64, 58.61, 41
64, 58.28, 32
64, 57.83, 33
64, 57.02, 34
64, 56.63, 32
64, 56.46, 28
64, 58.3, 35
64, 56.7, 31
64, 57.69, 33
64, 57.68, 35
64, 58.83, 35
64, 58.83, 30
64, 58.7, 34
64, 59.18, 33
64, 58.41, 33
64, 57.71, 33
64, 57.83, 32
64, 59.66, 42
64, 59.91, 32
64, 59.3, 32
64, 59.34, 33
64, 59.57, 26
64, 59.28, 37
64, 58.04, 32
64, 58.91, 41
64, 56.05, 33
64, 56.7, 31
64, 58.54, 25
64, 59.75, 36
64, 59.13, 34
64, 59.29, 39
64, 59.08, 35
64, 58.47, 31
64, 57.83, 31
64, 58.97, 32
64, 58.33, 33
64, 57.78, 33
64, 57.17, 34
64, 57.47, 32
64, 57.91, 30
64, 59.7, 44
64, 58.35, 31
64, 58.15, 33
64, 57.69, 36
64, 58.22, 36
64, 57.16, 33
64, 56.65, 37
64, 56.68, 29
64, 57.04, 32
64, 56.96, 25
64, 57.03, 33
64, 58.54, 47
64, 56.99, 16
64, 56.95, 25
64, 58.43, 32
64, 57.68, 33
64, 57.28, 31
64, 57.43, 31
64, 57.38, 34
64, 57.37, 37
64, 56.42, 23
64, 57.76, 34
64, 56.69, 33
64, 58.36, 40
64, 58.97, 40
64, 59.65, 34
64, 58.66, 37
64, 57.59, 31
64, 59.12, 37
64, 59.16, 42
64, 59.05, 30
64, 59.78, 32
64, 59.01, 32
64, 59.23, 30
64, 59.44, 44
64, 58.95, 30
64, 56.9, 34
64, 57.05, 27
64, 57.84, 38
64, 57.4, 29
64, 57.06, 33
64, 56.72, 34
64, 57.3, 40
64, 56.62, 32
64, 58.24, 42
64, 57.42, 33
64, 58.42, 41
64, 58.17, 41
64, 57.04, 25
64, 56.22, 33
64, 56.95, 32
64, 57.09, 27
64, 56.32, 35
64, 57.06, 36
64, 56.89, 33
64, 56.72, 38
64, 57.35, 36
64, 58.55, 39
64, 58.67, 43
64, 57.2, 26
64, 58.78, 28
64, 57.54, 34
64, 57.63, 34
64, 58.71, 41
64, 57.77, 30
64, 58.35, 35
64, 57.02, 33
64, 57.02, 25
64, 58.19, 35
64, 58.19, 34
64, 58.75, 38
64, 57.56, 30
64, 57.92, 36
64, 58.43, 32
64, 58.72, 31
64, 59.04, 40
64, 58.36, 37
64, 57.94, 36
64, 58.42, 36
64, 58.18, 43
64, 57.53, 33
64, 57.1, 37
64, 57.93, 34
64, 58.78, 37
64, 57.9, 32
64, 57.24, 32
64, 57.97, 35
64, 58.54, 42
64, 59.2, 34
64, 57.56, 37
64, 58.7, 34
64, 58.31, 34
64, 58.94, 37
64, 59.54, 34
64, 57.89, 30
64, 58.16, 32
64, 57.84, 31
64, 58.33, 41
64, 58.65, 43
64, 58.4, 34
64, 58.7, 38
64, 59.54, 42
64, 59.22, 34
64, 58.55, 33
64, 59.4, 38
64, 57.86, 30
64, 58.26, 34
64, 59.15, 42
64, 58.41, 44
64, 58.22, 33
64, 58.46, 37
64, 58.97, 28
64, 58.2, 35
64, 58.17, 37
64, 57.93, 33
64, 57.37, 33
64, 58.06, 37
64, 56.49, 32
64, 56.72, 26
64, 55.69, 32
64, 56.21, 34
64, 56.71, 28
64, 57.17, 33
64, 56.94, 31
64, 57.44, 36
64, 56.67, 37
64, 57.21, 29
64, 57.73, 33
64, 59.51, 41
64, 58.68, 31
64, 58.79, 30
64, 57.33, 33
64, 57.07, 30
64, 57.72, 35
64, 57.36, 32
64, 57.5, 29
64, 57.34, 34
64, 59.07, 30
64, 59.23, 33
64, 58.17, 34
64, 57.34, 35
64, 56.89, 32
64, 56.22, 33
64, 57.39, 32
64, 57.94, 32
64, 59.26, 40
64, 58.68, 43
64, 59.21, 32
64, 57.62, 29
64, 56.87, 32
64, 57.43, 32
64, 56.01, 31
64, 57.0, 35
64, 56.72, 32
64, 56.59, 32
64, 57.57, 40
64, 57.85, 32
64, 58.23, 30
64, 57.79, 33
64, 58.36, 33
64, 58.36, 35
64, 58.8, 39
64, 58.27, 34
64, 59.61, 37
64, 58.67, 35
64, 57.38, 38
64, 57.33, 32
64, 58.43, 37
64, 57.34, 35
64, 58.01, 40
64, 56.75, 29
64, 57.42, 32
64, 57.83, 34
64, 58.92, 42
64, 59.59, 40
64, 59.0, 27
64, 58.91, 32
64, 59.06, 36
64, 58.42, 35
64, 56.38, 33
64, 56.25, 37
64, 56.54, 32
64, 57.04, 32
64, 59.01, 41
64, 59.0, 37
64, 58.54, 40
64, 58.71, 40
64, 57.26, 26
64, 57.56, 28
64, 57.51, 21
64, 57.75, 36
64, 57.34, 34
64, 56.53, 35
64, 56.27, 34
64, 57.97, 36
64, 56.7, 41
64, 55.69, 31
64, 56.48, 31
64, 56.49, 36
64, 57.41, 36
64, 58.71, 36
64, 57.11, 27
64, 57.31, 33
64, 57.63, 38
64, 57.66, 32
64, 57.51, 34
64, 57.09, 29
64, 57.62, 37
64, 58.23, 42
64, 58.64, 35
64, 58.82, 37
64, 58.49, 36
64, 59.21, 44
64, 59.04, 34
64, 58.3, 28
64, 58.89, 38
64, 58.09, 35
64, 57.68, 38
64, 58.27, 36
64, 57.59, 38
64, 58.16, 33
64, 58.21, 35
64, 58.45, 41
64, 58.04, 40
64, 58.88, 42
64, 58.83, 39
64, 59.05, 36
64, 57.87, 29
64, 58.14, 32
64, 58.7, 37
64, 58.25, 40
64, 56.98, 35
64, 56.91, 33
64, 57.61, 36
64, 58.0, 36
64, 57.14, 35
64, 58.19, 34
64, 58.76, 39
64, 58.67, 34
64, 56.48, 29
64, 56.61, 30
64, 57.26, 36
64, 57.83, 35
64, 57.57, 40
64, 59.13, 45
64, 57.51, 32
64, 57.93, 30
64, 59.29, 38
64, 58.73, 42
64, 57.81, 38
64, 58.66, 40
64, 59.1, 35
64, 58.86, 32
64, 58.91, 34
64, 58.64, 37
64, 56.88, 33
64, 57.0, 34
64, 56.65, 32
64, 57.52, 39
64, 56.41, 33
64, 55.54, 27
64, 56.27, 36
64, 56.94, 37
64, 55.85, 30
64, 55.39, 34
64, 56.4, 42
64, 56.36, 36
64, 56.56, 41
64, 56.0, 31
64, 55.19, 31
64, 56.73, 34
64, 56.08, 32
64, 56.69, 30
64, 56.98, 30
64, 57.68, 41
64, 58.11, 37
64, 57.34, 30
64, 58.36, 38
64, 58.46, 41
64, 58.22, 25
64, 57.96, 31
64, 58.03, 41
64, 58.21, 37
64, 59.5, 36
64, 58.48, 40
64, 57.69, 29
64, 58.36, 38
64, 57.81, 38
64, 58.03, 36
64, 58.59, 41
64, 58.86, 37
64, 59.23, 42
64, 58.22, 37
64, 58.09, 40
64, 57.26, 38
64, 58.48, 37
64, 58.05, 45
64, 57.28, 36
64, 58.75, 42
64, 58.49, 36
64, 56.9, 36
64, 58.39, 35
64, 57.92, 37
64, 58.88, 34
64, 59.28, 42
64, 59.21, 35
64, 57.78, 30
64, 58.54, 38
64, 58.21, 40
64, 57.3, 28
64, 58.93, 34
64, 58.96, 42
64, 59.79, 42
64, 59.46, 42
64, 60.26, 44
64, 59.72, 32
64, 59.79, 35
64, 59.76, 36
64, 60.12, 40
64, 58.55, 40
64, 58.25, 32
64, 56.75, 32
64, 58.72, 40
64, 57.65, 34
64, 57.81, 38
64, 58.89, 35
64, 58.61, 38
64, 59.03, 44
64, 58.46, 34
64, 58.91, 37
64, 58.92, 41
64, 57.96, 37
64, 58.4, 30
64, 57.88, 37
64, 58.56, 30
64, 58.39, 33
64, 58.41, 37
64, 56.06, 30
64, 57.06, 37
64, 57.74, 33
64, 56.97, 33
64, 58.29, 35
64, 58.51, 37
64, 58.08, 36
64, 57.31, 32
64, 56.91, 26
64, 57.41, 36
64, 57.57, 36
64, 58.56, 45
64, 58.31, 44
64, 57.67, 36
64, 57.5, 36
64, 58.93, 43
64, 59.43, 30
64, 59.1, 37
64, 58.97, 38
64, 59.68, 33
64, 58.95, 37
64, 58.53, 31
64, 57.76, 32
64, 58.28, 36
64, 57.88, 32
64, 58.68, 40
64, 58.51, 39
64, 58.8, 36
64, 59.25, 36
64, 60.08, 40
64, 59.65, 40
64, 58.61, 39
64, 58.51, 38
64, 59.6, 31
64, 59.22, 40
64, 60.19, 44
64, 59.1, 41
64, 57.24, 38
64, 57.45, 32
64, 58.76, 42
64, 58.05, 40
64, 58.75, 41
64, 58.15, 34
64, 58.04, 35
64, 57.98, 37
64, 58.24, 27
64, 57.57, 36
64, 57.44, 29
64, 58.16, 30
64, 58.08, 37
64, 57.54, 33
64, 57.65, 36
64, 58.21, 36
64, 59.71, 40
64, 58.01, 38
64, 56.53, 34
64, 57.65, 38
64, 57.09, 35
64, 57.25, 37
64, 56.91, 32
64, 56.8, 38
64, 55.73, 32
64, 56.86, 31
64, 58.29, 36
64, 57.78, 38
64, 57.18, 37
64, 57.11, 39
64, 56.95, 36
64, 56.51, 36
64, 58.0, 44
64, 58.06, 40
64, 57.8, 41
64, 57.53, 32
64, 58.07, 35
64, 57.52, 34
64, 57.62, 25
64, 58.19, 39
64, 57.8, 37
