Best Fitness, Average Fitness, Worst Fitness
71.0, 20.155, 3.0
97.0, 28.495, 3.0
168.0, 37.555, 8.0
209.0, 47.89, 7.0
135.0, 55.495, 10.0
199.0, 67.01, 16.0
201.0, 79.23, 17.0
320.0, 89.81, 23.0
285.0, 106.85, 24.0
326.0, 117.175, 15.0
292.0, 132.4, 21.0
392.0, 140.205, 31.0
318.0, 145.725, 44.0
335.0, 134.3, 36.0
284.0, 138.67, 38.0
277.0, 132.765, 41.0
269.0, 134.6, 26.0
293.0, 141.26, 25.0
325.0, 133.025, 39.0
304.0, 143.775, 35.0
322.0, 137.655, 22.0
292.0, 142.215, 35.0
346.0, 149.465, 16.0
343.0, 142.15, 28.0
327.0, 146.82, 34.0
311.0, 136.385, 33.0
339.0, 135.7, 37.0
337.0, 141.2, 33.0
341.0, 133.015, 36.0
324.0, 133.715, 39.0
321.0, 137.51, 41.0
375.0, 145.635, 45.0
274.0, 139.05, 38.0
283.0, 137.35, 41.0
283.0, 138.7, 32.0
314.0, 145.135, 32.0
340.0, 146.83, 37.0
470.0, 145.675, 36.0
428.0, 154.935, 45.0
394.0, 155.885, 45.0
382.0, 165.07, 35.0
307.0, 158.43, 33.0
320.0, 161.245, 19.0
264.0, 141.965, 42.0
292.0, 147.445, 22.0
269.0, 141.34, 35.0
252.0, 135.355, 15.0
289.0, 145.67, 25.0
280.0, 147.97, 41.0
282.0, 141.505, 25.0
290.0, 142.735, 47.0
315.0, 146.365, 35.0
302.0, 148.155, 37.0
321.0, 151.51, 33.0
249.0, 144.08, 45.0
308.0, 146.99, 50.0
298.0, 149.485, 32.0
315.0, 136.41, 31.0
334.0, 139.37, 55.0
323.0, 144.62, 39.0
374.0, 138.745, 49.0
343.0, 132.385, 28.0
325.0, 137.46, 42.0
253.0, 134.72, 34.0
285.0, 138.195, 25.0
279.0, 144.38, 29.0
298.0, 145.315, 42.0
310.0, 150.6, 57.0
324.0, 141.06, 37.0
288.0, 138.81, 62.0
311.0, 136.26, 34.0
302.0, 137.675, 58.0
313.0, 142.43, 43.0
294.0, 147.595, 29.0
267.0, 147.775, 63.0
294.0, 150.0, 32.0
299.0, 152.425, 57.0
376.0, 154.95, 54.0
359.0, 151.925, 56.0
338.0, 146.67, 32.0
261.0, 144.68, 45.0
308.0, 145.025, 30.0
383.0, 135.825, 40.0
289.0, 135.525, 41.0
355.0, 145.475, 44.0
296.0, 146.295, 42.0
332.0, 151.835, 32.0
332.0, 164.92, 41.0
317.0, 153.32, 35.0
332.0, 148.905, 56.0
289.0, 156.065, 32.0
391.0, 148.365, 42.0
325.0, 157.49, 56.0
350.0, 148.415, 34.0
391.0, 157.37, 61.0
315.0, 158.37, 24.0
390.0, 156.815, 42.0
363.0, 160.475, 46.0
345.0, 156.55, 48.0
305.0, 159.195, 38.0
310.0, 155.465, 58.0
329.0, 154.645, 59.0
407.0, 163.635, 47.0
495.0, 159.91, 50.0
321.0, 159.6, 30.0
330.0, 149.055, 44.0
335.0, 161.025, 31.0
342.0, 148.795, 37.0
290.0, 141.405, 31.0
312.0, 134.66, 57.0
306.0, 152.295, 27.0
305.0, 151.185, 26.0
284.0, 147.56, 35.0
287.0, 149.71, 31.0
278.0, 146.725, 41.0
285.0, 150.87, 50.0
314.0, 147.1, 44.0
346.0, 147.36, 46.0
343.0, 159.54, 43.0
343.0, 170.03, 50.0
408.0, 171.775, 42.0
389.0, 150.32, 40.0
340.0, 152.055, 47.0
315.0, 142.64, 43.0
320.0, 152.06, 38.0
343.0, 150.4, 36.0
351.0, 153.6, 25.0
364.0, 154.895, 30.0
